,D1A_FAIXAID,D2_SEXO,D3_ESCOLA,OCUPA,Q1,Q12P1_B,Q12P2_B,P18,Q502,Q405,D10,majoritarian
507,5,1,6,4,3,3,1,5,4,1,3,10
508,5,2,6,4,3,5,99,5,3,3,2,11
509,2,1,5,4,4,7,1,4,5,5,5,14
510,7,2,1,4,3,99,99,1,5,1,5,7
511,5,2,0,4,4,5,1,2,1,4,3,7
512,2,1,5,1,4,99,2,5,3,4,5,12
513,4,1,6,1,2,3,1,5,3,2,5,10
514,4,1,6,3,2,99,2,5,2,5,5,12
515,3,2,6,1,4,5,1,4,5,5,3,14
516,7,1,6,4,3,9,99,4,2,1,3,7
517,2,1,7,1,1,9,2,1,4,1,98,6
518,6,2,2,4,3,5,1,2,5,2,3,9
519,4,2,6,3,1,9,2,2,5,5,4,12
520,3,1,6,1,1,3,1,2,5,5,2,12
521,5,1,3,3,3,99,99,5,2,1,97,8
522,5,1,3,1,4,99,60,5,5,1,3,11
523,5,2,8,4,1,99,97,5,5,5,5,15
524,2,1,6,3,3,3,50,5,5,5,5,15
525,4,1,7,3,3,60,60,2,2,2,3,6
526,2,1,5,1,4,5,99,2,2,2,5,6
527,5,2,6,1,4,5,1,1,1,1,3,3
528,7,1,1,4,3,5,1,4,1,4,3,9
529,5,1,3,1,3,3,2,5,4,1,3,10
530,6,2,9,4,2,9,2,1,2,2,5,5
531,3,2,6,1,3,5,1,4,5,5,3,14
532,5,2,6,1,3,50,2,5,5,4,5,14
533,6,1,1,4,4,5,1,1,5,5,3,11
534,7,2,2,4,3,5,1,1,4,2,3,7
535,4,2,3,3,4,5,1,1,3,2,3,6
536,3,1,8,4,3,9,2,2,5,2,3,9
537,5,1,4,1,2,5,1,5,5,5,3,15
538,4,2,5,1,3,3,2,2,5,2,5,9
539,3,1,7,1,3,60,60,5,2,2,3,9
540,4,1,6,3,2,9,2,5,1,2,3,8
541,2,1,4,1,3,9,2,5,5,5,3,15
542,2,2,5,3,3,50,50,4,4,1,5,9
543,7,2,0,4,4,99,99,1,1,5,5,7
544,7,1,0,4,3,99,99,1,5,1,3,7
545,6,1,1,4,4,60,2,1,1,1,3,3
546,3,2,4,4,4,9,2,1,5,1,3,7
547,3,2,6,1,3,3,60,5,5,1,5,11
548,6,2,2,4,4,50,50,5,1,5,5,11
549,3,2,8,1,3,10,2,5,5,5,3,15
550,2,2,6,4,3,99,2,4,3,3,97,10
551,3,1,1,4,3,5,1,1,4,5,3,10
552,4,2,1,3,4,5,1,1,5,1,3,7
553,3,2,8,3,4,99,99,2,4,5,3,11
554,2,1,5,4,3,5,99,2,2,2,3,6
555,5,1,5,3,2,5,1,4,5,1,3,10
556,3,2,5,4,4,99,99,4,4,4,3,12
557,6,2,7,3,3,99,1,5,5,5,3,15
558,4,1,7,3,2,9,2,5,5,2,3,12
559,5,1,6,1,4,3,2,4,4,2,3,10
560,5,2,6,4,3,5,1,4,2,5,3,11
561,4,1,6,4,2,5,1,1,2,5,3,8
562,4,2,9,1,2,5,1,5,2,5,3,12
563,2,1,8,1,3,9,2,5,4,2,3,11
564,4,2,6,3,3,5,1,1,4,4,3,9
565,2,2,4,4,2,5,1,5,5,5,3,15
566,6,1,2,4,2,99,99,1,5,1,3,7
567,3,1,4,3,2,9,2,5,1,1,97,7
568,3,2,4,4,3,9,1,4,4,5,3,13
569,4,1,4,4,3,60,1,5,5,4,3,14
570,3,1,8,4,4,9,2,5,5,5,3,15
571,6,1,4,3,1,3,1,4,2,2,3,8
572,3,1,6,1,2,5,1,5,4,1,5,10
573,2,2,6,1,2,5,1,5,2,5,97,12
574,2,2,6,1,2,3,1,2,5,5,97,12
575,3,2,6,3,1,9,2,1,5,4,5,10
576,3,2,4,3,3,3,1,5,1,5,5,11
577,4,2,4,4,1,5,1,1,4,1,3,6
578,6,2,6,1,3,5,1,4,1,2,3,7
579,5,2,6,1,1,99,99,5,5,1,7,11
580,4,1,8,1,1,5,2,5,2,1,5,8
581,5,2,8,1,2,9,2,1,2,2,5,5
582,5,2,8,3,2,9,99,5,1,5,3,11
583,2,1,7,4,2,9,2,5,2,4,5,11
584,5,1,8,1,1,3,1,5,4,5,97,14
585,2,1,4,4,4,99,99,4,1,2,3,7
586,2,2,6,4,4,60,60,4,2,2,5,8
587,3,1,2,4,4,5,1,4,5,2,3,11
588,4,1,2,1,3,5,1,1,1,1,3,3
589,4,1,6,4,3,5,1,2,2,1,3,5
590,3,2,5,4,3,3,2,4,3,1,3,8
591,6,2,2,3,2,5,1,2,3,5,5,10
592,4,2,8,1,3,9,2,1,1,1,3,3
593,7,2,8,4,3,3,2,2,2,2,3,6
594,5,2,2,4,4,5,1,5,2,2,3,9
595,6,1,6,3,3,3,2,1,5,5,3,11
596,5,1,6,4,3,3,2,5,2,2,3,9
597,3,2,4,3,3,5,1,4,4,2,3,10
598,5,1,4,4,3,9,60,5,5,5,5,15
599,3,2,6,4,1,9,2,2,5,5,5,12
600,3,1,6,3,3,5,1,1,5,5,3,11
601,3,1,2,3,1,5,1,1,1,1,97,3
602,2,2,4,4,4,98,1,1,5,4,3,10
603,2,1,6,4,3,99,99,5,1,5,5,11
604,1,1,3,4,4,99,99,2,2,2,3,6
605,4,1,6,4,3,3,1,4,5,5,3,14
606,4,2,4,4,4,5,1,2,5,5,3,12
607,4,2,8,3,1,5,1,2,5,1,3,8
608,3,1,6,1,1,9,2,5,4,5,5,14
609,7,2,8,1,1,5,1,1,5,4,3,10
610,3,2,8,1,4,9,2,4,2,1,97,7
611,2,1,7,1,2,9,2,4,5,5,3,14
612,5,1,6,4,3,7,50,5,1,2,3,8
613,6,2,0,4,4,98,98,1,1,1,5,3
614,5,2,2,3,4,97,99,2,1,5,99,8
615,3,2,6,4,4,5,1,1,5,5,5,11
616,6,1,8,4,1,50,50,5,5,5,3,15
617,5,2,6,3,3,5,1,2,2,1,3,5
618,2,2,6,1,3,3,1,2,5,4,96,11
619,4,1,2,3,4,5,1,1,1,1,3,3
620,6,1,8,3,2,9,2,5,5,5,5,15
621,6,2,2,3,4,99,99,1,1,1,3,3
622,3,2,7,1,4,3,1,2,5,1,3,8
623,7,1,0,4,4,98,1,2,1,5,5,8
624,2,1,3,1,4,50,50,1,5,1,3,7
625,3,1,6,3,1,7,2,3,5,4,3,12
626,2,2,8,1,2,5,1,2,1,5,5,8
627,4,1,6,4,2,5,1,4,2,4,5,10
628,5,2,6,4,2,9,2,2,5,4,97,11
629,3,1,6,1,1,2,99,1,1,1,5,3
630,4,1,6,3,1,9,2,1,1,2,3,4
631,3,2,5,3,4,10,99,4,4,4,5,12
632,5,1,3,3,2,9,2,1,2,5,5,8
633,2,2,6,1,3,5,1,2,4,2,3,8
634,7,1,0,4,4,99,1,1,1,1,3,3
635,7,2,2,4,1,9,2,5,4,4,3,13
636,2,1,6,1,1,9,2,4,2,5,5,11
637,3,1,2,3,4,99,99,5,5,5,3,15
638,5,2,4,3,4,99,99,2,5,5,5,12
639,2,1,6,1,2,9,2,5,4,5,5,14
640,4,1,4,3,3,9,2,5,5,2,3,12
641,3,2,6,4,3,5,1,1,5,5,3,11
642,5,1,1,4,4,5,1,5,5,5,97,15
643,5,2,6,1,3,3,2,4,3,1,3,8
644,5,2,6,3,2,9,2,5,5,5,5,15
645,2,1,6,4,2,10,2,5,5,4,5,14
646,4,1,6,4,2,99,1,5,1,5,97,11
647,6,2,6,4,1,9,2,5,5,5,5,15
648,6,1,7,3,1,3,1,4,1,4,4,9
649,4,1,2,4,3,99,1,4,2,5,3,11
650,5,1,8,3,2,50,50,5,2,5,3,12
651,4,2,3,3,3,9,2,1,5,1,5,7
652,3,1,2,3,1,9,2,1,1,1,5,3
653,4,2,8,4,1,3,1,4,2,4,4,10
654,3,2,8,1,3,7,99,4,4,5,3,13
655,7,2,1,4,3,5,1,4,5,2,3,11
656,3,2,7,1,2,3,1,4,5,5,3,14
657,3,1,4,1,1,99,1,5,1,1,3,7
658,4,1,1,1,3,98,1,2,1,1,2,4
659,3,2,6,4,3,5,1,4,5,1,5,10
660,5,2,2,4,4,5,1,5,5,5,5,15
661,7,1,6,2,2,9,2,4,5,5,3,14
662,6,2,0,4,4,5,2,5,5,1,2,11
663,4,2,2,1,4,5,1,5,5,1,3,11
664,2,2,6,3,2,9,2,4,5,4,5,13
665,3,1,7,3,1,5,99,5,5,5,97,15
666,3,1,8,3,4,9,2,5,1,4,3,10
667,5,2,4,3,1,9,2,4,5,5,5,14
668,2,2,3,4,4,5,1,4,2,2,3,8
669,2,1,7,4,4,9,2,5,4,4,5,13
670,2,1,4,4,4,9,99,2,5,4,5,11
671,4,1,6,3,4,9,2,2,1,2,5,5
672,5,2,2,3,3,9,2,5,2,1,5,8
673,2,2,7,4,4,5,1,5,5,2,3,12
674,5,1,7,2,1,8,2,5,4,1,96,10
675,4,1,7,1,3,12,2,1,5,5,3,11
676,6,1,2,4,3,5,1,4,2,5,3,11
677,6,2,2,4,4,5,1,1,1,5,3,7
678,4,2,8,1,3,5,1,1,5,5,3,11
679,4,1,6,3,1,3,1,5,5,5,5,15
680,3,2,7,1,2,9,2,1,5,1,3,7
681,4,2,6,4,4,99,99,1,1,1,3,3
682,5,1,1,4,4,5,1,1,2,5,5,8
683,5,1,3,3,3,5,1,5,1,5,3,11
684,3,1,2,1,3,9,2,2,5,5,5,12
685,6,1,6,3,3,6,2,5,1,2,3,8
686,2,1,6,3,2,10,1,4,4,1,3,9
687,4,1,6,1,4,9,2,5,2,5,3,12
688,4,2,8,1,2,9,2,5,5,4,1,14
689,2,2,6,4,4,5,1,5,2,2,3,9
690,4,2,3,1,4,9,2,5,3,5,3,13
691,6,2,1,4,3,2,1,5,5,5,5,15
692,3,2,6,1,3,9,2,2,5,2,3,9
693,5,2,6,1,3,5,2,4,2,4,3,10
694,5,2,2,1,3,9,2,1,5,3,5,9
695,6,2,7,1,2,9,2,5,5,1,3,11
696,3,1,7,3,2,9,2,5,4,4,5,13
697,7,1,1,4,1,5,1,5,5,1,3,11
698,3,2,6,1,4,5,1,1,1,4,5,6
699,2,1,6,3,2,9,2,2,1,1,3,4
700,2,2,6,3,3,5,1,5,4,4,5,13
701,2,1,5,1,4,99,99,5,2,5,5,12
702,5,1,4,3,3,3,1,5,2,1,5,8
703,6,1,4,4,4,50,50,4,5,4,4,13
704,6,1,2,3,4,50,50,3,3,3,3,9
705,6,2,6,4,2,10,2,2,5,5,5,12
706,7,2,2,4,4,99,99,5,1,4,3,10
707,5,2,8,2,1,9,2,5,5,4,3,14
708,4,1,6,3,4,99,99,3,3,3,3,9
709,6,2,4,4,3,5,1,5,5,2,3,12
710,5,2,4,4,4,99,2,5,5,1,3,11
711,5,2,4,4,3,9,2,5,5,3,4,13
712,4,1,8,2,4,99,99,3,3,5,5,11
713,3,1,6,2,1,5,1,4,2,3,3,9
714,7,2,6,4,4,99,99,5,3,4,5,12
715,6,2,2,4,4,9,2,5,4,2,3,11
716,6,2,2,4,4,1,2,4,2,1,3,7
717,6,2,3,4,3,7,2,3,2,3,3,8
718,6,1,3,4,4,50,60,2,1,2,5,5
719,6,1,4,1,4,50,60,2,3,3,3,8
720,5,1,4,3,4,5,1,3,1,2,97,6
721,3,1,6,4,4,5,2,3,1,2,3,6
722,3,2,6,3,1,97,97,5,5,5,5,15
723,3,2,5,3,4,5,1,5,1,5,3,11
724,2,1,3,3,4,99,99,2,1,1,5,4
725,5,1,1,4,4,99,99,1,1,1,5,3
726,5,2,0,4,2,6,98,5,1,1,5,7
727,3,1,6,1,1,9,2,2,1,5,5,8
728,4,2,2,4,1,99,99,5,1,1,3,7
729,6,2,4,4,2,5,1,3,2,2,2,7
730,6,2,4,4,4,9,2,1,1,4,3,6
731,6,2,2,4,4,99,99,4,4,3,3,11
732,5,1,4,1,1,99,99,2,2,3,5,7
733,3,1,6,1,4,99,99,4,3,5,3,12
734,6,1,4,3,4,5,1,3,3,5,4,11
735,4,1,4,4,3,99,99,2,1,5,3,8
736,3,1,7,1,1,3,1,2,4,2,3,8
737,6,1,1,3,4,99,99,4,1,5,3,10
738,4,2,3,4,4,5,1,4,4,2,3,10
739,3,2,1,4,4,9,2,5,2,1,3,8
740,5,2,5,3,3,5,1,5,2,1,10,8
741,2,2,3,4,4,5,1,2,1,1,5,4
742,3,1,6,3,4,9,2,2,5,2,97,9
743,6,1,1,4,3,9,2,2,2,4,3,8
744,4,1,7,1,1,9,2,5,1,1,3,7
745,4,2,9,1,3,9,2,4,5,5,5,14
746,6,2,1,4,4,9,2,4,3,1,3,8
747,4,2,8,3,4,6,2,4,2,1,5,7
748,3,2,6,1,4,9,2,2,3,5,3,10
749,4,1,6,3,2,5,1,5,5,5,5,15
750,5,1,4,1,2,9,2,5,5,4,5,14
751,2,1,6,3,2,9,2,4,4,3,3,11
752,2,1,7,4,1,9,2,5,4,5,5,14
753,5,1,6,4,1,99,1,4,2,3,3,9
754,4,2,6,1,3,99,1,5,5,5,3,15
755,4,2,6,4,3,99,99,4,5,1,5,10
756,4,2,2,1,2,98,1,5,5,5,3,15
757,3,2,6,3,4,99,60,5,5,5,5,15
758,4,1,5,1,2,5,2,4,2,2,5,8
759,2,2,5,4,4,99,99,5,3,5,5,13
760,2,1,4,4,4,9,2,5,3,3,5,11
761,7,2,1,4,4,98,2,4,5,1,5,10
762,4,2,2,1,4,5,98,5,2,4,3,11
763,4,2,6,1,2,9,2,3,5,5,5,13
764,2,1,4,4,1,99,99,5,1,1,5,7
765,2,1,6,1,3,9,2,3,5,5,97,13
766,4,1,7,4,4,50,50,2,5,1,3,8
767,3,1,6,4,4,60,2,5,1,1,3,7
768,6,2,9,1,2,3,99,5,5,5,3,15
769,6,2,2,1,3,9,2,5,2,1,3,8
770,2,2,2,4,4,9,2,1,1,5,3,7
771,4,2,6,1,4,3,2,4,4,1,3,9
772,5,1,0,1,3,5,1,5,5,5,5,15
773,4,1,2,4,3,5,1,2,5,5,3,12
774,1,1,4,4,3,99,99,5,2,5,5,12
775,7,2,2,4,4,9,2,2,1,5,5,8
776,7,1,8,4,3,5,1,5,5,5,3,15
777,4,1,6,2,2,9,2,5,1,1,5,7
778,2,2,6,1,3,9,2,4,5,4,3,13
779,4,2,6,1,3,9,2,2,4,5,97,11
780,5,1,6,3,1,9,2,2,1,5,5,8
781,2,1,6,1,3,9,2,4,2,4,3,10
782,3,1,6,4,1,9,2,5,5,1,5,11
783,2,1,6,3,2,99,99,3,1,3,3,7
784,7,2,6,4,1,9,2,5,5,1,5,11
785,5,2,7,3,4,9,2,5,5,5,5,15
786,5,1,1,3,3,3,2,5,5,1,3,11
787,2,2,6,4,4,99,99,2,4,3,3,9
788,2,1,6,1,3,9,2,5,4,2,3,11
789,5,2,9,1,2,5,1,5,5,5,3,15
790,3,2,6,3,1,9,2,4,1,1,3,6
791,4,2,1,4,3,5,1,2,2,2,3,6
792,4,1,5,4,2,99,99,2,4,2,5,8
793,2,1,5,3,3,5,1,2,3,1,3,6
794,3,2,4,3,2,5,1,5,3,1,5,9
795,5,2,4,4,3,9,2,3,5,5,3,13
796,4,1,1,3,3,99,99,2,4,4,3,10
797,4,1,6,3,1,3,1,4,4,5,3,13
798,4,1,3,3,1,99,99,1,5,1,3,7
799,5,2,6,1,3,50,50,4,5,5,3,14
800,4,1,1,4,3,5,1,2,4,2,3,8
801,4,1,7,3,1,9,2,2,1,5,3,8
802,2,2,7,4,3,3,1,4,5,5,3,14
803,4,2,6,3,1,3,1,5,5,5,3,15
804,2,1,4,3,3,99,99,2,4,2,5,8
805,4,2,4,4,4,5,1,3,3,2,3,8
806,3,2,6,4,1,99,99,2,4,2,5,8
807,2,1,6,3,3,9,2,5,2,2,3,9
808,3,1,7,1,2,9,2,2,1,5,97,8
809,4,2,8,3,3,5,1,2,3,5,5,10
810,4,1,3,3,4,99,99,5,4,4,3,13
811,2,2,8,4,2,9,2,5,2,2,5,9
812,2,1,6,3,4,99,99,5,2,5,3,12
813,6,2,6,4,3,9,2,5,1,1,5,7
814,5,2,2,1,3,9,2,5,5,5,3,15
815,6,1,1,3,3,97,99,5,5,2,5,12
816,2,1,6,4,3,3,1,4,2,2,3,8
817,3,1,5,1,3,9,2,4,5,1,5,10
818,3,1,8,1,3,2,2,2,5,5,3,12
819,3,1,6,2,3,9,2,2,1,1,3,4
820,2,2,6,3,4,5,1,1,4,5,5,10
821,3,1,5,3,2,9,2,4,5,5,3,14
822,5,1,1,2,2,9,2,1,1,5,3,7
823,2,2,6,1,4,60,60,4,4,5,5,13
824,6,1,1,3,4,5,1,5,2,3,3,10
825,4,2,5,4,3,5,1,4,5,2,3,11
826,6,1,7,3,1,9,2,5,5,5,3,15
827,4,2,8,1,3,50,50,5,5,5,3,15
828,6,2,8,4,2,99,2,1,2,1,3,4
829,2,1,3,1,1,99,99,1,2,2,5,5
830,3,1,3,1,4,99,99,1,2,1,5,4
831,6,1,5,4,3,5,1,1,1,2,3,4
832,3,1,5,1,1,99,99,5,3,2,3,10
833,4,2,4,3,4,99,99,5,4,5,97,14
834,5,1,1,3,4,9,2,1,1,4,5,6
835,6,2,5,1,3,99,1,4,3,5,5,12
836,5,2,2,4,4,99,99,4,1,2,3,7
837,5,1,6,3,3,9,2,1,2,2,3,5
838,3,2,6,2,3,99,99,4,2,1,3,7
839,4,1,6,1,2,99,1,2,2,2,5,6
840,4,2,3,1,3,99,99,1,5,3,3,9
841,6,1,4,4,3,9,60,5,5,5,5,15
842,6,2,1,4,3,5,1,2,2,4,3,8
843,6,1,3,4,4,99,1,2,1,1,3,4
844,5,1,2,4,3,9,2,1,2,4,3,7
845,6,1,4,4,2,99,99,2,1,5,3,8
846,6,2,6,1,2,97,97,5,1,2,3,8
847,3,1,8,1,2,99,99,5,5,5,3,15
848,3,2,6,3,1,5,1,5,1,1,3,7
849,2,2,6,1,2,9,2,1,5,5,5,11
850,2,1,6,1,3,99,99,1,1,1,3,3
851,4,1,2,1,3,99,99,5,3,1,5,9
852,4,1,8,2,2,9,2,5,2,4,3,11
853,4,1,6,3,3,50,50,5,2,2,3,9
854,5,2,8,4,3,10,2,1,2,1,3,4
855,5,1,5,3,3,10,2,1,1,5,3,7
856,6,1,3,3,3,9,2,5,2,5,3,12
857,3,2,4,4,2,6,50,2,5,5,3,12
858,3,1,4,1,2,1,2,4,5,5,3,14
859,7,2,1,4,2,9,2,2,4,5,3,11
860,5,1,2,4,1,9,1,4,4,4,3,12
861,3,1,6,1,3,99,99,2,1,2,3,5
862,7,1,1,4,3,9,1,2,5,4,3,11
863,5,2,8,3,3,5,2,5,2,1,3,8
864,3,2,8,3,2,9,2,3,5,1,3,9
865,6,1,8,3,1,99,99,5,5,1,3,11
866,4,2,8,1,3,6,60,2,4,5,3,11
867,5,2,6,1,3,9,2,5,1,5,3,11
868,2,1,7,1,2,5,1,2,5,2,3,9
869,5,1,7,3,1,97,97,4,4,5,3,13
870,7,2,8,4,3,5,2,3,5,2,3,10
871,4,1,6,3,3,9,2,3,4,5,3,12
872,7,2,6,4,4,99,99,2,5,5,3,12
873,3,2,9,1,3,3,2,2,5,2,3,9
874,6,2,2,4,3,3,2,2,1,5,3,8
875,2,1,5,3,3,99,99,1,5,2,3,8
876,4,1,2,3,4,60,99,5,5,5,5,15
877,3,1,7,1,4,50,60,4,5,5,3,14
878,5,2,9,3,2,9,2,5,1,4,3,10
879,5,1,8,4,1,9,2,5,2,1,3,8
880,7,1,3,4,4,99,99,2,5,4,3,11
881,2,2,7,3,3,9,2,5,5,4,3,14
882,4,2,3,4,1,5,1,1,1,1,5,3
883,2,2,6,1,4,5,1,4,1,5,5,10
884,2,2,5,1,4,99,99,1,3,3,5,7
885,7,1,2,4,1,9,2,5,4,1,4,10
886,3,1,5,3,2,5,1,4,4,4,3,12
887,2,1,7,4,2,9,2,4,5,3,5,12
888,5,1,0,1,4,9,2,5,2,2,97,9
889,2,2,7,1,4,50,50,4,3,2,3,9
890,6,1,2,3,3,9,2,2,2,4,5,8
891,4,1,2,3,3,9,2,2,1,1,3,4
892,3,2,4,4,4,99,99,5,2,5,5,12
893,3,2,6,4,2,9,2,1,2,2,3,5
894,5,2,3,4,1,6,60,2,1,5,4,8
895,5,2,2,4,1,98,60,1,1,1,5,3
896,2,2,6,4,3,9,2,2,5,5,5,12
897,4,1,8,4,1,5,1,4,5,5,97,14
898,3,2,6,1,3,9,2,1,4,2,97,7
899,4,2,3,1,3,99,99,5,5,1,5,11
900,3,2,3,4,4,9,2,1,1,4,3,6
901,2,1,6,4,3,3,60,3,4,4,3,11
902,5,1,1,4,2,5,1,1,5,1,5,7
903,7,1,1,4,2,9,2,2,2,5,3,9
904,6,1,0,4,2,5,1,5,4,5,5,14
905,3,2,6,4,2,9,2,5,2,5,3,12
906,4,2,8,1,3,99,99,2,2,2,3,6
907,3,2,6,1,4,5,1,2,1,2,3,5
908,3,2,6,1,3,5,1,4,4,4,5,12
909,3,2,5,1,3,5,1,4,3,3,3,10
910,6,2,2,4,2,99,99,1,5,4,3,10
911,7,1,4,4,1,9,2,2,1,2,3,5
912,3,2,8,4,3,3,1,1,5,5,3,11
913,4,2,6,1,2,50,50,5,2,3,3,10
914,5,1,6,4,3,9,2,4,2,2,3,8
915,4,1,6,3,4,9,2,2,3,2,3,7
916,2,1,6,1,1,9,2,3,3,2,3,8
917,3,1,7,3,2,9,2,2,2,4,10,8
918,6,1,6,1,2,5,1,5,1,2,4,8
919,6,1,2,3,4,5,1,1,3,5,3,9
920,3,2,6,3,2,9,2,5,5,5,5,15
921,6,2,6,4,1,3,2,2,1,5,3,8
922,3,1,6,1,2,9,2,1,5,5,10,11
923,4,1,9,1,3,3,2,5,5,5,10,15
924,3,2,3,3,1,9,2,2,2,1,3,5
925,5,1,3,4,3,12,50,4,2,1,3,7
926,4,2,6,1,3,99,99,1,5,5,5,11
927,2,1,7,4,4,99,99,4,4,3,96,11
928,2,2,7,4,3,9,2,5,5,5,97,15
929,4,2,7,3,3,99,1,5,5,5,5,15
930,5,1,7,3,3,9,2,5,1,1,3,7
931,6,1,8,3,3,9,2,2,2,2,3,6
932,3,2,2,1,3,5,1,1,5,3,5,9
933,3,2,6,1,2,3,1,5,5,5,2,15
934,5,2,9,4,3,3,2,5,4,3,3,12
935,3,1,7,4,3,99,99,5,3,4,3,12
936,6,2,8,3,3,50,2,4,4,2,3,10
937,6,1,8,4,4,50,50,5,5,5,3,15
938,4,1,7,3,1,99,99,1,2,5,4,8
939,2,1,6,4,1,10,2,1,5,5,3,11
940,5,1,7,3,4,9,2,5,4,5,97,14
941,5,2,7,3,4,9,2,1,5,1,10,7
942,5,2,6,1,3,5,1,1,1,2,4,4
943,4,1,5,3,3,3,2,5,4,2,5,11
944,6,2,9,3,3,3,2,5,5,5,3,15
945,7,2,8,3,1,99,99,4,3,5,5,12
946,7,2,2,4,1,5,99,5,5,5,3,15
947,2,1,7,4,2,99,99,3,5,4,97,12
948,6,1,8,4,2,5,1,5,5,5,3,15
949,3,1,8,1,1,9,2,5,5,5,3,15
950,2,2,7,1,2,3,50,5,5,4,97,14
951,4,2,4,4,2,9,2,5,4,2,3,11
952,5,2,6,4,1,9,2,5,5,5,5,15
953,3,1,6,2,3,9,2,1,5,5,5,11
954,4,1,6,1,2,99,99,5,2,1,5,8
955,3,2,6,4,3,5,1,4,5,5,1,14
956,5,1,6,1,2,9,2,5,5,5,5,15
957,4,1,7,1,1,9,2,1,1,2,2,4
958,4,1,6,2,1,9,2,5,1,5,2,11
959,5,1,8,4,3,99,99,5,5,5,97,15
960,7,2,6,4,3,99,99,1,5,2,3,8
961,6,2,6,4,3,9,2,1,4,1,3,6
962,3,1,8,3,2,9,2,4,1,5,3,10
963,3,2,7,1,3,5,1,1,1,5,3,7
964,6,2,2,4,3,98,98,4,4,2,3,10
965,5,2,6,4,3,97,97,5,5,5,5,15
966,7,1,6,3,4,99,99,1,1,5,3,7
967,6,1,6,4,3,9,2,1,2,1,4,4
968,6,1,8,3,3,9,2,4,1,2,3,7
969,4,1,8,1,1,9,2,2,4,1,96,7
970,3,2,7,1,2,12,2,5,2,5,5,12
971,7,2,6,4,3,3,2,1,2,3,5,6
972,6,1,2,4,3,9,2,4,4,4,5,12
973,4,2,8,1,4,9,2,2,2,3,5,7
974,7,1,6,3,3,3,1,1,5,5,3,11
975,2,2,6,3,3,99,99,1,5,4,5,10
976,4,1,6,3,2,99,99,5,5,4,3,14
977,5,1,6,1,4,9,2,5,1,4,3,10
978,7,1,4,3,3,3,2,4,5,5,3,14
979,2,2,6,4,2,5,1,5,5,5,3,15
980,2,1,7,4,2,3,1,5,5,2,96,12
981,5,2,3,4,3,5,1,5,1,1,3,7
982,4,2,6,3,3,5,1,5,5,5,3,15
983,3,1,6,4,3,99,99,4,1,5,3,10
984,5,2,9,1,3,3,50,4,5,1,10,10
985,5,1,2,3,2,9,2,4,5,2,5,11
986,4,2,6,1,2,3,50,5,4,4,5,13
987,6,1,1,4,1,9,2,5,1,1,3,7
988,4,1,6,3,3,9,2,1,1,2,5,4
989,6,2,7,4,4,97,99,1,4,3,1,8
990,6,1,0,3,4,99,2,1,5,5,3,11
991,4,1,6,1,2,9,2,5,4,4,5,13
992,5,1,6,3,4,9,99,5,4,5,3,14
993,7,2,0,4,4,9,2,2,3,1,5,6
994,4,1,5,4,3,9,2,2,2,2,97,6
995,3,2,6,1,4,9,2,1,5,5,5,11
996,3,1,5,4,2,9,2,5,5,5,5,15
997,5,2,6,4,1,8,2,5,1,1,5,7
998,5,2,4,3,4,99,99,4,5,4,97,13
999,3,2,8,3,2,9,2,1,1,2,5,4
1000,3,1,4,1,2,99,2,1,4,5,96,10
1001,7,2,1,4,2,9,2,2,2,2,3,6
1002,3,2,5,4,3,5,1,5,2,2,5,9
1003,4,1,4,1,3,9,2,5,5,4,3,14
1004,5,1,6,1,3,9,99,4,4,2,5,10
1005,5,2,5,4,2,9,99,5,2,2,5,9
1006,3,2,6,1,2,9,2,1,1,5,97,7
