,D1A_FAIXAID,D2_SEXO,D3_ESCOLA,OCUPA,Q1,Q12P1_B,Q12P2_B,P18,Q502,Q405,D10,majoritarian
1007,3,2,6,4,3,2,2,5,1,4,5,10
1008,2,1,6,3,4,99,99,5,5,5,4,15
1009,7,1,8,4,2,9,2,5,5,5,5,15
1010,5,2,6,1,4,9,2,5,5,1,5,11
1011,7,2,5,4,3,60,60,5,1,4,10,10
1012,6,1,3,3,1,3,1,4,1,2,3,7
1013,2,2,3,4,4,99,99,5,2,5,5,12
1014,6,2,6,3,4,9,2,1,1,1,3,3
1015,7,2,4,4,3,99,99,1,1,2,3,4
1016,7,1,4,4,1,9,2,1,2,1,3,4
1017,3,2,6,4,4,99,99,1,5,4,5,10
1018,6,1,8,1,2,99,99,4,4,5,5,13
1019,2,1,6,1,4,99,99,4,4,5,5,13
1020,4,1,6,3,2,9,2,1,3,1,5,5
1021,3,1,6,1,1,99,99,5,5,5,5,15
1022,4,2,5,3,4,99,99,2,4,1,5,7
1023,4,1,6,4,3,9,2,5,5,1,3,11
1024,4,2,3,3,4,99,99,4,5,5,97,14
1025,6,2,6,4,4,60,60,4,1,5,5,10
1026,2,1,1,1,2,6,2,5,5,1,3,11
1027,3,2,7,4,3,5,2,1,4,2,5,7
1028,7,2,1,4,4,99,99,1,5,5,3,11
1029,4,2,6,3,3,5,2,1,5,5,5,11
1030,2,1,6,4,2,5,2,1,5,5,5,11
1031,4,1,4,1,3,9,2,1,2,5,3,8
1032,7,1,1,4,2,9,2,1,2,1,3,4
1033,4,2,2,3,4,50,50,1,1,1,5,3
1034,4,2,3,4,3,60,1,1,4,1,5,6
1035,3,2,6,1,3,9,2,2,4,1,5,7
1036,2,1,7,1,1,9,2,5,1,1,5,7
1037,5,1,5,3,4,99,99,5,1,5,5,11
1038,3,1,6,1,3,50,50,4,4,4,3,12
1039,6,1,6,1,1,9,2,1,5,5,5,11
1040,5,2,6,4,4,9,2,1,2,4,3,7
1041,6,1,6,4,1,9,2,4,2,5,4,11
1042,3,2,5,4,2,9,2,5,4,2,5,11
1043,5,1,4,4,3,5,1,1,1,1,3,3
1044,4,1,6,1,3,50,50,5,5,2,97,12
1045,6,1,6,4,3,9,2,1,5,4,3,10
1046,4,1,4,3,3,99,99,5,1,1,3,7
1047,6,2,1,3,4,99,99,4,1,2,5,7
1048,4,1,5,3,1,9,2,5,5,5,3,15
1049,7,2,4,4,3,9,2,5,5,5,5,15
1050,5,2,7,1,3,3,1,4,4,5,5,13
1051,5,2,8,1,1,99,1,5,5,5,4,15
1052,2,1,5,4,3,9,2,4,4,2,3,10
1053,4,2,3,4,3,99,99,2,2,2,3,6
1054,7,2,2,4,3,98,2,5,2,2,5,9
1055,6,1,8,3,2,99,99,5,2,2,4,9
1056,2,2,5,4,2,50,50,5,5,2,97,12
1057,4,1,2,3,1,3,2,5,4,5,5,14
1058,4,1,1,3,3,5,1,5,1,4,5,10
1059,3,1,0,4,4,99,99,5,1,2,97,8
1060,5,2,1,4,4,5,99,4,2,4,5,10
1061,3,2,5,4,4,98,1,5,5,5,5,15
1062,4,2,2,4,3,5,1,5,5,4,5,14
1063,6,2,6,1,4,9,2,5,3,3,5,11
1064,3,1,6,1,3,9,2,5,5,4,97,14
1065,3,2,6,4,1,9,2,1,1,5,5,7
1066,4,1,2,1,4,9,2,1,1,5,5,7
1067,6,1,6,4,4,99,99,1,1,5,5,7
1068,7,1,6,4,1,9,2,5,4,5,3,14
1069,2,1,6,4,3,98,60,2,4,5,98,11
1070,6,2,6,3,3,9,2,1,5,2,4,8
1071,2,1,6,1,2,9,2,4,4,2,5,10
1072,3,2,8,4,4,99,99,1,5,2,5,8
1073,5,1,1,1,3,97,97,4,5,1,5,10
1074,3,1,7,2,3,9,99,5,5,5,5,15
1075,7,2,2,4,3,9,1,3,5,1,5,9
1076,4,1,6,1,3,9,2,5,4,1,3,10
1077,4,2,6,4,4,97,97,1,5,1,3,7
1078,3,1,7,2,3,9,2,1,1,5,3,7
1079,2,1,3,3,4,99,99,5,1,1,98,7
1080,3,1,8,1,1,9,2,5,5,1,3,11
1081,5,1,6,4,3,99,99,5,1,5,5,11
1082,6,1,3,4,2,5,1,1,2,1,3,4
1083,2,2,5,1,4,3,1,1,1,1,3,3
1084,5,2,5,4,4,50,50,5,5,5,5,15
1085,4,2,8,3,1,5,1,5,5,5,3,15
1086,2,2,7,3,1,3,1,5,5,5,96,15
1087,5,1,7,3,1,9,2,1,5,5,3,11
1088,3,1,6,1,2,5,1,1,5,5,3,11
1089,2,1,6,4,1,99,99,5,5,5,4,15
1090,6,2,8,4,1,99,99,1,5,5,1,11
1091,6,2,2,1,3,9,2,5,1,5,5,11
1092,4,1,1,1,2,9,2,1,2,2,97,5
1093,2,2,6,4,4,5,1,1,1,1,97,3
1094,4,1,3,3,4,99,99,1,1,2,4,4
1095,5,1,3,1,3,5,1,2,4,2,3,8
1096,3,2,6,1,2,99,99,5,5,5,3,15
1097,5,1,6,4,1,9,2,1,1,5,3,7
1098,5,2,6,4,1,3,1,1,5,5,3,11
1099,6,2,6,1,4,9,2,1,1,1,5,3
1100,3,2,7,3,3,9,2,5,2,1,3,8
1101,4,1,3,1,2,9,2,2,5,1,3,8
1102,2,2,4,4,2,99,99,5,2,2,96,9
1103,2,1,7,4,3,5,1,2,5,5,97,12
1104,3,2,6,1,4,99,99,1,1,1,5,3
1105,5,2,6,3,3,97,97,1,1,2,97,4
1106,4,2,4,3,4,99,99,5,5,5,97,15
1107,3,1,4,1,4,99,99,1,5,5,3,11
1108,2,1,4,3,3,99,99,5,4,5,97,14
1109,3,1,7,3,1,8,1,5,5,1,96,11
1110,5,2,8,1,1,7,1,5,5,1,10,11
1111,3,1,8,2,2,9,2,4,1,4,97,9
1112,4,2,9,1,2,10,2,5,5,5,4,15
1113,6,2,8,1,4,50,2,2,4,4,1,10
1114,6,2,6,3,3,3,1,5,5,5,3,15
1115,2,1,6,4,3,5,1,4,5,4,5,13
1116,5,1,6,3,4,6,1,5,2,5,97,12
1117,5,1,6,4,4,50,50,5,5,1,3,11
1118,7,2,6,4,2,97,1,5,5,5,3,15
1119,5,2,6,3,2,99,99,2,1,5,3,8
1120,4,2,7,3,1,9,2,2,1,1,5,4
1121,7,1,7,3,2,9,2,5,5,1,3,11
1122,7,2,0,4,2,6,2,1,1,1,3,3
1123,3,1,8,1,3,99,99,5,5,4,3,14
1124,4,1,6,4,4,50,50,4,5,5,7,14
1125,4,2,6,1,3,99,99,2,5,2,5,9
1126,5,2,5,3,3,9,2,4,4,1,3,9
1127,3,1,6,4,2,9,2,1,1,2,5,4
1128,2,1,7,1,2,3,1,5,4,5,97,14
1129,6,1,8,4,1,9,2,4,5,5,3,14
1130,6,1,7,4,1,9,2,4,4,5,3,13
1131,3,1,6,1,4,97,97,4,1,5,7,10
1132,6,1,6,3,3,9,2,5,4,4,97,13
1133,5,2,6,4,2,3,50,5,5,1,97,11
1134,3,2,6,3,3,50,50,5,2,2,5,9
1135,3,2,8,1,2,9,2,5,1,1,5,7
1136,2,1,7,1,3,9,2,5,4,5,5,14
1137,3,2,6,3,2,99,99,4,5,4,5,13
1138,2,1,7,1,3,5,1,4,4,5,97,13
1139,3,2,6,1,3,3,99,1,4,1,5,6
1140,2,2,4,1,3,50,1,1,1,2,5,4
1141,2,1,8,1,2,2,1,5,5,4,5,14
1142,7,1,1,4,4,99,99,1,1,1,3,3
1143,4,1,6,4,4,50,50,2,4,4,3,10
1144,3,2,6,4,3,97,2,3,5,4,7,12
1145,5,2,2,4,4,99,99,5,1,2,5,8
1146,3,2,6,4,3,6,60,4,4,5,5,13
1147,4,1,2,4,4,99,99,1,1,5,3,7
1148,5,1,3,3,3,3,2,2,1,1,3,4
1149,6,2,4,1,4,97,97,1,5,1,5,7
1150,2,1,5,4,4,99,99,5,5,5,5,15
1151,6,1,1,4,2,97,97,1,1,1,3,3
1152,4,2,8,1,2,7,1,2,4,3,3,9
1153,5,2,5,1,4,99,99,1,5,5,3,11
1154,4,1,5,3,4,9,2,5,1,1,5,7
1155,2,2,6,3,4,60,60,2,4,4,5,10
1156,2,2,6,1,3,60,60,1,5,5,5,11
1157,2,1,6,3,4,9,2,5,2,5,5,12
1158,3,1,5,3,4,5,1,2,5,5,3,12
1159,5,2,8,4,2,5,1,4,5,5,4,14
1160,5,2,6,4,2,9,60,1,5,5,4,11
1161,5,1,6,3,2,9,2,4,2,4,3,10
1162,4,1,7,3,1,5,1,2,5,2,4,9
1163,3,1,8,1,2,3,50,1,5,5,96,11
1164,6,2,4,3,3,5,1,4,5,4,3,13
1165,4,1,9,1,1,99,99,2,4,2,97,8
1166,3,2,8,4,2,3,1,5,5,5,97,15
1167,4,2,8,4,2,5,1,5,1,2,3,8
1168,4,1,8,1,1,5,1,4,4,5,96,13
1169,7,2,9,4,1,9,2,1,5,5,3,11
1170,4,1,8,2,3,99,99,1,1,5,96,7
1171,4,2,8,3,2,99,99,5,5,5,96,15
1172,4,2,7,4,1,3,1,1,5,5,10,11
1173,7,1,2,4,2,9,2,4,1,2,4,7
1174,6,1,8,4,2,9,2,4,1,1,4,6
1175,7,2,8,4,1,9,2,5,5,5,4,15
1176,6,1,6,3,2,10,50,5,5,5,3,15
1177,3,1,8,1,1,3,1,5,5,5,97,15
1178,5,2,8,1,2,10,2,5,1,5,4,11
1179,3,1,5,3,2,99,99,1,2,2,5,5
1180,5,2,8,3,2,50,50,5,5,4,5,14
1181,3,1,7,1,2,99,99,5,5,5,5,15
1182,2,2,6,1,3,5,1,4,3,3,3,10
1183,6,1,1,3,4,9,2,5,1,1,3,7
1184,4,2,3,3,1,9,2,5,1,5,3,11
1185,7,2,3,3,4,9,2,1,1,5,5,7
1186,6,1,5,3,3,99,99,5,4,5,3,14
1187,2,1,7,1,4,99,99,1,5,5,97,11
1188,3,2,7,4,3,3,1,4,5,5,4,14
1189,3,2,8,1,2,9,2,2,4,4,4,10
1190,6,2,4,3,3,9,2,5,5,4,3,14
1191,5,1,5,1,2,5,1,5,1,1,98,7
1192,6,1,5,4,4,5,1,3,5,5,3,13
1193,4,1,4,3,2,5,1,4,4,5,3,13
1194,4,1,3,3,2,9,2,1,4,1,3,6
1195,4,1,1,1,3,5,1,4,1,4,97,9
1196,6,2,2,4,3,3,2,4,5,1,5,10
1197,3,2,6,1,3,3,1,1,2,2,3,5
1198,4,2,1,3,3,5,1,1,1,4,3,6
1199,5,2,1,1,4,1,2,4,1,1,3,6
1200,3,1,6,3,3,9,2,5,1,5,5,11
1201,3,2,6,3,3,10,2,1,5,5,5,11
1202,7,2,1,4,3,5,1,1,5,2,3,8
1203,4,1,6,3,3,99,99,5,1,5,3,11
1204,5,2,8,1,3,10,50,5,4,5,4,14
1205,3,1,7,1,3,9,2,5,4,1,5,10
1206,2,1,7,4,2,3,1,5,5,4,10,14
1207,4,2,7,4,1,3,1,5,5,5,4,15
1208,6,2,8,4,4,50,50,2,5,1,97,8
1209,5,1,6,3,3,9,2,2,5,5,5,12
1210,3,1,7,3,1,7,1,5,5,4,8,14
1211,2,2,7,1,3,3,50,4,5,4,4,13
1212,3,2,7,3,3,3,1,4,5,4,97,13
1213,3,2,7,3,3,5,2,5,5,2,97,12
1214,2,2,7,4,3,50,50,5,5,5,97,15
1215,6,2,4,3,3,9,1,2,5,2,3,9
1216,4,1,9,3,2,12,1,5,5,5,3,15
1217,5,1,9,4,1,12,1,5,5,5,3,15
1218,7,1,4,4,3,99,99,1,3,5,5,9
1219,5,1,4,3,3,99,99,2,4,1,3,7
1220,2,1,6,1,2,9,2,2,5,4,5,11
1221,2,2,6,1,1,9,2,5,1,5,5,11
1222,3,1,6,3,3,99,99,2,4,5,3,11
1223,6,1,4,4,3,99,99,4,1,1,3,6
1224,2,1,6,3,3,99,99,5,5,5,3,15
1225,2,2,5,3,3,3,50,5,5,5,5,15
1226,7,1,2,4,4,99,99,5,4,4,97,13
1227,4,2,2,3,3,9,2,2,5,2,5,9
1228,5,1,6,1,1,97,97,5,5,4,3,14
1229,3,1,8,2,2,10,2,5,5,5,5,15
1230,7,1,2,4,3,98,1,2,2,1,5,5
1231,4,2,4,2,2,6,2,3,4,2,5,9
1232,4,2,2,3,3,5,1,5,5,5,4,15
1233,3,2,7,1,3,3,1,5,5,5,5,15
1234,3,1,6,1,3,4,99,4,4,5,3,13
1235,6,1,2,3,3,9,2,1,1,1,3,3
1236,4,1,6,2,3,10,2,1,2,1,3,4
1237,6,1,4,3,4,9,2,1,1,5,3,7
1238,3,1,5,4,3,5,1,1,2,2,5,5
1239,3,2,8,1,1,5,1,5,2,5,97,12
1240,2,2,5,1,3,99,1,4,5,5,5,14
1241,4,1,6,1,3,5,1,5,1,1,97,7
1242,6,1,6,3,4,5,1,5,5,5,3,15
1243,6,1,7,3,1,9,2,5,5,5,4,15
1244,6,2,2,3,4,6,2,4,4,4,5,12
1245,3,2,6,1,4,9,2,1,1,1,3,3
1246,3,2,6,1,3,5,1,2,1,2,97,5
1247,3,1,6,4,3,9,2,4,4,5,5,13
1248,4,2,6,4,4,3,2,2,4,4,97,10
1249,2,2,6,4,3,5,1,1,5,5,3,11
1250,5,1,6,3,3,9,2,5,5,5,5,15
1251,6,2,2,4,1,99,2,1,1,5,3,7
1252,7,1,3,1,2,6,2,1,5,5,3,11
1253,7,1,2,4,2,99,99,1,1,5,3,7
1254,3,1,6,1,1,9,2,5,1,5,5,11
1255,3,1,7,4,1,9,2,5,1,5,5,11
1256,4,1,3,3,1,9,2,1,1,1,5,3
1257,4,2,7,4,2,6,2,1,4,5,5,10
1258,6,2,4,3,3,97,97,5,1,5,5,11
1259,6,2,7,4,2,5,1,5,5,1,3,11
1260,5,2,6,1,4,99,99,5,2,1,5,8
1261,4,2,6,1,4,99,99,4,1,1,97,6
1262,2,1,6,1,3,99,2,2,2,1,97,5
1263,6,1,1,3,2,9,2,4,5,1,5,10
1264,2,2,6,4,3,9,2,4,5,5,5,14
1265,5,1,6,1,1,2,1,5,1,1,5,7
1266,3,1,2,4,4,99,99,5,2,5,5,12
1267,3,2,6,3,3,9,2,2,1,2,5,5
1268,5,1,6,1,1,9,2,4,5,5,5,14
1269,4,2,6,4,3,5,1,2,4,4,5,10
1270,5,1,6,4,1,3,1,1,5,2,5,8
1271,2,2,7,3,3,60,60,4,4,5,3,13
1272,3,2,6,3,4,99,99,4,5,2,5,11
1273,4,2,9,1,2,10,60,4,2,5,3,11
1274,6,2,8,4,2,9,2,4,1,5,5,10
1275,5,1,7,1,1,9,2,4,1,4,3,9
1276,6,2,5,3,3,9,2,4,5,2,3,11
1277,6,1,6,2,3,97,2,2,1,5,5,8
1278,3,1,6,4,3,9,2,5,5,5,97,15
1279,5,2,4,1,3,9,2,2,2,2,3,6
1280,2,2,7,1,3,5,1,4,2,4,3,10
1281,5,2,4,1,4,50,99,3,5,5,3,13
1282,4,1,9,1,1,9,2,2,4,5,96,11
1283,5,1,3,1,1,6,1,1,1,1,5,3
1284,4,1,7,1,2,9,2,2,2,4,3,8
1285,2,1,6,1,3,9,2,5,3,4,5,12
1286,3,2,6,4,3,99,2,2,5,3,3,10
1287,5,2,3,4,4,6,50,5,5,1,3,11
1288,3,2,6,4,4,5,1,2,4,2,3,8
1289,5,2,8,4,2,5,1,5,5,5,4,15
1290,5,1,3,1,3,9,2,1,4,1,3,6
1291,2,1,5,3,3,99,99,2,4,5,5,11
1292,4,1,4,4,3,5,1,5,5,5,3,15
1293,6,2,3,1,3,9,2,5,1,5,3,11
1294,4,2,6,1,4,99,2,1,1,1,97,3
1295,4,2,6,1,3,6,50,5,5,1,5,11
1296,4,2,5,4,4,50,50,5,5,2,5,12
1297,5,2,6,3,1,9,2,5,5,5,97,15
1298,4,1,6,1,1,9,2,1,4,2,97,7
1299,6,1,7,4,3,6,2,1,5,1,3,7
1300,5,1,1,1,1,9,2,5,2,4,97,11
1301,7,2,3,4,4,99,99,1,2,1,3,4
1302,5,1,8,1,3,1,99,4,2,1,97,7
1303,3,2,9,1,2,50,50,5,5,4,98,14
1304,4,2,8,4,2,99,99,5,5,1,5,11
1305,4,1,2,3,3,99,99,2,4,2,3,8
1306,7,1,2,3,1,98,1,5,2,1,5,8
1307,5,1,4,3,1,99,99,1,5,1,5,7
1308,4,2,6,1,4,2,50,5,1,5,5,11
1309,7,2,1,4,4,9,2,5,5,4,5,14
1310,4,1,6,4,1,9,2,5,5,2,97,12
1311,7,1,7,4,4,60,60,2,2,5,7,9
1312,4,1,7,1,1,9,2,4,4,2,5,10
1313,3,2,8,1,4,9,99,4,3,3,5,10
1314,2,1,7,4,3,9,2,5,5,5,5,15
1315,4,2,7,1,3,99,99,4,5,5,4,14
1316,4,2,2,1,2,3,1,4,2,4,97,10
1317,5,2,4,4,2,50,50,1,5,1,3,7
1318,4,1,8,1,2,6,2,4,2,5,10,11
1319,3,1,8,3,1,99,99,5,5,1,96,11
1320,3,2,6,4,1,9,2,5,4,5,10,14
1321,4,1,3,3,4,99,1,1,5,2,97,8
1322,4,1,6,3,2,5,1,2,1,1,96,4
1323,7,1,4,4,3,5,1,4,1,4,3,9
1324,5,2,6,3,4,99,99,4,5,1,3,10
1325,2,2,8,3,3,9,2,2,5,1,97,8
1326,6,2,5,3,3,99,99,2,1,4,3,7
1327,2,2,7,1,3,3,50,4,5,5,4,14
1328,5,2,6,1,3,9,2,1,1,1,3,3
1329,6,1,6,3,4,99,99,5,1,1,97,7
1330,2,1,6,3,3,50,1,1,2,5,98,8
1331,6,1,2,4,3,9,2,5,1,5,3,11
1332,5,1,7,4,1,9,2,4,1,1,3,6
1333,5,2,7,3,3,5,1,5,5,5,4,15
1334,3,2,8,3,2,9,2,1,1,5,3,7
1335,2,2,7,3,2,10,2,5,5,5,5,15
1336,5,2,4,4,4,99,60,1,1,1,3,3
1337,2,2,6,1,3,9,2,2,2,2,3,6
1338,5,1,3,1,4,6,1,5,1,1,3,7
1339,2,1,6,4,3,9,2,2,2,2,3,6
1340,6,2,2,4,3,99,99,2,2,5,3,9
1341,2,1,4,3,3,9,2,4,2,1,5,7
1342,4,1,6,1,3,9,2,4,5,4,5,13
1343,4,1,7,1,2,99,99,5,2,5,5,12
1344,4,2,7,3,1,9,2,5,5,1,5,11
1345,2,2,7,1,3,3,1,3,3,3,3,9
1346,4,2,5,3,3,9,2,2,5,5,3,12
1347,3,2,6,1,2,99,99,1,1,5,3,7
1348,3,1,8,1,3,99,99,4,4,2,97,10
1349,6,1,1,3,4,99,99,1,3,5,5,9
1350,5,2,3,3,3,9,2,2,1,1,3,4
1351,7,1,6,3,3,9,2,2,2,5,3,9
1352,5,1,4,3,1,6,2,1,1,1,3,3
1353,3,1,8,1,3,5,99,1,4,5,3,10
1354,4,1,8,3,3,99,99,1,5,1,3,7
1355,6,1,3,4,3,6,2,1,1,1,3,3
1356,3,2,8,1,4,97,97,5,1,1,5,7
1357,2,1,6,3,3,9,2,4,5,5,5,14
1358,6,2,2,4,4,5,1,1,4,1,5,6
1359,4,2,7,3,3,3,50,1,2,2,3,5
1360,3,2,4,4,4,99,99,5,5,1,3,11
1361,3,1,4,4,4,99,99,1,5,1,5,7
1362,5,2,6,4,3,9,2,1,5,1,5,7
1363,4,1,6,4,2,6,99,4,4,2,5,10
1364,3,1,6,4,4,99,99,2,5,1,3,8
1365,4,2,6,3,3,99,99,2,5,5,3,12
1366,3,2,6,1,2,50,2,5,4,1,97,10
1367,2,1,4,1,4,50,50,5,5,4,3,14
1368,3,1,6,4,3,9,2,1,5,5,5,11
1369,5,2,2,3,3,98,1,1,4,5,3,10
1370,4,2,7,3,2,10,2,5,5,5,4,15
1371,4,2,6,3,4,5,2,4,1,1,5,6
1372,5,2,1,1,4,5,1,5,5,5,3,15
1373,4,1,6,3,3,9,2,1,2,2,3,5
1374,2,2,6,1,4,99,99,2,2,5,5,9
1375,5,1,3,3,4,5,1,1,5,2,3,8
1376,5,1,3,3,4,50,50,2,4,2,3,8
1377,5,1,6,3,4,5,60,5,1,5,3,11
1378,3,1,8,1,3,99,99,4,5,5,3,14
1379,3,1,8,4,3,3,1,5,5,5,3,15
1380,6,1,6,3,2,9,2,5,5,1,5,11
1381,6,2,8,1,3,9,2,4,5,5,4,14
1382,5,2,8,1,4,50,99,2,5,2,4,9
1383,4,2,8,3,3,5,1,2,2,2,4,6
1384,2,2,7,1,4,99,99,2,4,5,97,11
1385,2,2,7,3,4,6,1,2,5,4,5,11
1386,4,1,8,1,2,9,2,4,5,5,3,14
1387,2,1,7,1,3,10,60,5,5,5,96,15
1388,5,2,7,1,3,6,2,4,2,2,3,8
1389,4,1,6,1,4,9,1,5,1,2,3,8
1390,6,1,8,4,3,50,2,1,5,1,4,7
1391,5,1,2,3,3,3,2,5,1,1,5,7
1392,4,2,3,3,4,99,99,5,5,4,5,14
1393,4,1,8,1,3,9,2,4,2,2,5,8
1394,4,1,7,4,4,6,2,2,5,5,3,12
1395,2,2,7,3,4,9,2,2,5,5,3,12
1396,3,1,6,1,3,99,99,2,5,2,7,9
1397,4,1,7,3,3,50,50,5,1,5,97,11
1398,3,1,7,1,3,9,2,5,4,2,3,11
1399,4,1,7,3,2,9,2,4,5,2,3,11
1400,4,2,7,1,4,9,2,5,1,2,3,8
1401,4,1,6,1,3,9,2,1,4,1,3,6
1402,7,1,7,3,3,6,2,2,4,2,3,8
1403,5,1,7,1,3,99,2,2,1,1,5,4
1404,4,2,6,3,4,9,2,4,2,4,3,10
1405,6,2,4,3,1,6,2,5,5,5,96,15
1406,5,2,2,3,4,98,2,5,3,1,5,9
1407,5,1,5,2,1,9,2,5,1,5,5,11
1408,6,1,2,3,4,5,1,4,5,5,3,14
1409,5,1,1,3,4,99,99,1,5,5,3,11
1410,3,1,6,2,4,99,99,5,5,5,3,15
1411,5,1,3,1,3,9,2,1,5,1,5,7
1412,2,2,6,1,3,5,2,5,5,5,5,15
1413,6,2,2,4,4,99,99,5,5,1,3,11
1414,4,1,2,1,4,7,99,2,2,1,3,5
1415,5,2,6,4,3,1,60,5,1,5,5,11
1416,5,1,5,4,1,5,1,5,5,5,3,15
1417,5,2,7,3,4,3,2,1,2,5,3,8
1418,3,2,9,3,1,3,1,5,5,5,4,15
1419,7,2,4,4,2,99,99,2,2,2,5,6
1420,6,2,1,3,3,99,99,5,5,5,4,15
1421,3,1,7,4,2,99,1,5,5,5,5,15
1422,3,1,7,3,1,9,2,5,3,5,5,13
1423,7,2,5,4,4,99,99,4,1,5,3,10
1424,3,1,6,1,4,9,2,1,1,4,5,6
1425,5,1,2,4,4,9,2,1,5,1,97,7
1426,4,2,7,1,3,9,2,5,5,1,3,11
1427,3,1,6,1,4,9,1,4,5,5,5,14
1428,5,2,8,3,3,99,99,1,1,1,96,3
1429,5,2,7,3,1,5,1,5,1,5,3,11
1430,2,1,7,1,3,3,99,4,5,5,5,14
1431,2,2,5,1,3,9,2,5,2,2,3,9
1432,7,2,5,2,3,5,1,2,4,1,5,7
1433,5,2,6,3,1,99,99,5,5,4,3,14
1434,5,1,5,1,3,9,2,5,5,5,3,15
1435,5,2,3,3,4,99,97,2,2,1,3,5
1436,2,1,7,1,3,9,2,5,1,1,3,7
1437,3,1,1,1,4,99,99,1,5,1,3,7
1438,2,1,5,3,1,99,99,5,5,5,97,15
1439,3,2,8,2,4,99,99,1,1,4,7,6
1440,3,2,8,1,2,3,1,5,5,5,3,15
1441,7,1,2,4,3,9,2,4,5,4,97,13
1442,4,2,4,3,4,9,2,2,4,4,4,10
1443,4,2,4,4,4,5,1,2,1,5,3,8
1444,5,2,6,4,4,99,99,4,5,5,7,14
1445,6,2,4,4,4,98,2,4,1,2,3,7
1446,5,1,7,3,3,9,2,2,2,2,3,6
1447,3,1,4,1,2,9,2,1,5,5,5,11
1448,5,1,6,3,4,99,99,5,5,5,3,15
1449,3,1,6,1,1,9,2,2,4,2,5,8
1450,2,2,7,1,1,3,1,5,5,5,3,15
1451,3,2,6,3,2,2,2,5,1,2,3,8
1452,5,1,7,4,4,99,99,1,1,2,4,4
1453,6,2,0,4,4,5,1,4,2,2,3,8
1454,3,1,7,4,2,5,2,4,5,4,3,13
1455,3,2,6,1,4,99,99,5,5,1,3,11
1456,3,2,6,1,3,9,2,1,2,2,5,5
1457,6,1,2,4,3,9,2,1,1,2,3,4
1458,3,1,4,1,2,99,99,5,2,2,5,9
1459,2,1,7,1,3,9,2,4,5,2,3,11
1460,5,2,1,1,4,99,99,1,1,5,3,7
1461,3,2,7,3,3,5,1,5,5,5,96,15
1462,3,1,4,1,4,5,1,1,5,5,5,11
1463,5,2,7,3,2,9,2,5,1,4,3,10
1464,3,1,5,1,4,99,99,4,4,4,3,12
1465,3,2,8,2,4,97,97,5,1,1,5,7
1466,4,1,5,3,3,9,2,5,5,5,5,15
1467,3,2,5,1,3,60,1,1,2,2,5,5
1468,4,1,8,1,3,9,2,5,1,5,3,11
1469,3,1,8,1,1,10,50,5,1,5,5,11
1470,4,1,6,3,2,9,2,1,1,5,3,7
1471,3,1,5,4,4,99,99,5,5,1,5,11
1472,4,2,3,1,4,99,99,5,5,5,5,15
1473,3,1,8,1,1,5,1,5,5,5,8,15
1474,2,1,3,3,3,99,99,5,3,3,5,11
1475,3,1,6,1,2,99,99,2,1,5,3,8
1476,3,2,6,1,2,9,2,4,4,2,5,10
1477,4,1,6,3,2,9,2,2,1,5,5,8
1478,5,1,8,2,2,9,2,5,2,5,4,12
1479,6,1,4,1,4,5,99,1,2,5,3,8
1480,6,2,3,1,3,9,1,5,5,4,3,14
1481,6,2,2,4,1,5,50,5,2,2,3,9
1482,6,2,6,1,2,9,2,5,5,5,3,15
1483,2,2,7,1,3,99,99,5,5,2,3,12
1484,4,2,6,3,2,99,99,1,5,1,3,7
1485,2,2,6,1,3,99,99,5,1,2,5,8
1486,7,2,1,4,4,99,99,5,5,1,5,11
1487,5,2,6,1,1,9,2,4,4,5,3,13
